"VILLES","FICHES ENREGISTREES","OBJECTIFS VISES"
"Odienné","4450","2413"
"Man","11335","7948"
"Gagnoa","4060","1825"
"Bouaké","7188","2483"
"Korhogo","2593","920"
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
